Episode #0 Angle PID Val: Kp 29.544282878767778, Ki 24.262401949823612, Kd 8.794453978080183. X PID Val: Kp 10.711152801412, Ki 4.540861304257912, Kd 6.830010641947561
Episode #1 Angle PID Val: Kp 29.531794177115128, Ki 18.944447774335057, Kd 8.794453978080183. X PID Val: Kp 10.711152801412, Ki 2.360463655694345, Kd 6.178385710746751
Episode #2 Angle PID Val: Kp 23.791065366841377, Ki 20.71590423465028, Kd 13.680209197901966. X PID Val: Kp 8.297041587484205, Ki 7.271992803267179, Kd 12.971295554172
Episode #3 Angle PID Val: Kp 27.484568565201126, Ki 0.05338058645679378, Kd 16.835067292649455. X PID Val: Kp 9.396352569058125, Ki 0.8730352125699745, Kd 15.538836637346225
Episode #4 Angle PID Val: Kp 23.791065366841377, Ki 2.160368132149623, Kd 16.835067292649455. X PID Val: Kp 4.670013497476876, Ki 1.0236913518952289, Kd 13.063284512560081
Episode #5 Angle PID Val: Kp 23.791065366841377, Ki 2.160368132149623, Kd 16.835067292649455. X PID Val: Kp 4.670013497476876, Ki 1.0236913518952289, Kd 13.063284512560081
Episode #6 Angle PID Val: Kp 28.950655158972417, Ki 20.71590423465028, Kd 13.680209197901966. X PID Val: Kp 9.396352569058125, Ki 0.8730352125699745, Kd 12.971295554172
Episode #7 Angle PID Val: Kp 28.950655158972417, Ki 20.71590423465028, Kd 13.680209197901966. X PID Val: Kp 9.396352569058125, Ki 0.8730352125699745, Kd 12.971295554172
Episode #8 Angle PID Val: Kp 30.353060114267677, Ki 5.107347942042987, Kd 12.952693379463945. X PID Val: Kp 10.30247997584644, Ki 0.8730352125699745, Kd 12.495234977763142
Episode #9 Angle PID Val: Kp 30.353060114267677, Ki 5.107347942042987, Kd 12.952693379463945. X PID Val: Kp 10.30247997584644, Ki 0.8730352125699745, Kd 12.495234977763142
Episode #10 Angle PID Val: Kp 30.353060114267677, Ki 5.107347942042987, Kd 12.952693379463945. X PID Val: Kp 10.30247997584644, Ki 0.8730352125699745, Kd 12.495234977763142
Episode #11 Angle PID Val: Kp 30.353060114267677, Ki 5.107347942042987, Kd 12.952693379463945. X PID Val: Kp 10.30247997584644, Ki 0.8730352125699745, Kd 12.495234977763142
Episode #12 Angle PID Val: Kp 30.03451546241278, Ki 5.20674427302095, Kd 12.952693379463945. X PID Val: Kp 8.455768242530198, Ki 0.8730352125699745, Kd 13.03060768780482
Episode #13 Angle PID Val: Kp 30.03451546241278, Ki 5.20674427302095, Kd 12.952693379463945. X PID Val: Kp 8.455768242530198, Ki 0.8730352125699745, Kd 13.03060768780482
Episode #14 Angle PID Val: Kp 30.353060114267677, Ki 5.107347942042987, Kd 12.952693379463945. X PID Val: Kp 9.040074594537353, Ki 0.8730352125699745, Kd 12.495234977763142
Episode #15 Angle PID Val: Kp 30.531111312820755, Ki 1.1245184347191999, Kd 12.97212527372317. X PID Val: Kp 9.396352569058125, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #16 Angle PID Val: Kp 30.531111312820755, Ki 1.1245184347191999, Kd 12.97212527372317. X PID Val: Kp 9.396352569058125, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #17 Angle PID Val: Kp 30.531111312820755, Ki 1.1245184347191999, Kd 12.97212527372317. X PID Val: Kp 9.396352569058125, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #18 Angle PID Val: Kp 30.531111312820755, Ki 3.2459054505829474, Kd 12.983763771703842. X PID Val: Kp 9.396352569058125, Ki 0.9130016608892679, Kd 12.971295554172
Episode #19 Angle PID Val: Kp 30.531111312820755, Ki 1.1245184347191999, Kd 12.952693379463945. X PID Val: Kp 9.938004804318139, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #20 Angle PID Val: Kp 30.531111312820755, Ki 1.1245184347191999, Kd 12.952693379463945. X PID Val: Kp 9.938004804318139, Ki 0.8730352125699745, Kd 12.929646437316654
Episode #21 Angle PID Val: Kp 31.45614709868731, Ki 4.898238718980862, Kd 12.952693379463945. X PID Val: Kp 8.79517195250517, Ki 0.8730352125699745, Kd 12.929646437316654
